               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.085909,            0.016633,           0.0034199,             0.28848,             0.29412,              0.2368,            0.053631,             0.08752,            0.018914,           0.0020707,           0.0076438,           0.0076438,           0.0076438
                 121,            0.087032,            0.043722,           0.0053667,             0.28848,             0.29412,              0.2368,            0.053631,             0.08752,            0.018914,           0.0020707,            0.007624,            0.007624,            0.007624
                 122,            0.080199,            0.029106,           0.0039409,             0.28848,             0.29412,              0.2368,            0.053631,             0.08752,            0.018914,           0.0020707,           0.0076042,           0.0076042,           0.0076042
                 123,            0.079021,             0.02048,           0.0032609,             0.32901,             0.23529,             0.29542,            0.092697,            0.082087,            0.019198,           0.0020946,           0.0075844,           0.0075844,           0.0075844
                 124,            0.081685,            0.024415,           0.0034294,             0.32901,             0.23529,             0.29542,            0.092697,            0.082087,            0.019198,           0.0020946,           0.0075646,           0.0075646,           0.0075646
                 125,            0.083311,            0.019169,           0.0026802,             0.32901,             0.23529,             0.29542,            0.092697,            0.082087,            0.019198,           0.0020946,           0.0075448,           0.0075448,           0.0075448
                 126,            0.077808,            0.028466,           0.0047298,             0.32901,             0.23529,             0.29542,            0.092697,            0.082087,            0.019198,           0.0020946,            0.007525,            0.007525,            0.007525
                 127,            0.081068,            0.021347,           0.0032192,             0.35647,             0.17647,             0.24337,            0.073175,            0.084427,            0.019228,           0.0019491,           0.0075052,           0.0075052,           0.0075052
                 128,              0.0841,             0.03024,           0.0034723,             0.35647,             0.17647,             0.24337,            0.073175,            0.084427,            0.019228,           0.0019491,           0.0074854,           0.0074854,           0.0074854
                 129,            0.077422,            0.023421,           0.0032476,             0.35647,             0.17647,             0.24337,            0.073175,            0.084427,            0.019228,           0.0019491,           0.0074656,           0.0074656,           0.0074656
                 130,            0.083436,            0.026505,           0.0030243,             0.35647,             0.17647,             0.24337,            0.073175,            0.084427,            0.019228,           0.0019491,           0.0074458,           0.0074458,           0.0074458
                 131,            0.081303,            0.017367,           0.0030711,             0.29252,             0.29412,             0.27457,            0.097631,            0.078552,              0.0195,           0.0017987,            0.007426,            0.007426,            0.007426
                 132,            0.078655,            0.023605,           0.0027668,             0.29252,             0.29412,             0.27457,            0.097631,            0.078552,              0.0195,           0.0017987,           0.0074062,           0.0074062,           0.0074062
                 133,            0.079851,            0.024246,           0.0044585,             0.29252,             0.29412,             0.27457,            0.097631,            0.078552,              0.0195,           0.0017987,           0.0073864,           0.0073864,           0.0073864
                 134,            0.077947,            0.032121,           0.0027887,             0.29252,             0.29412,             0.27457,            0.097631,            0.078552,              0.0195,           0.0017987,           0.0073666,           0.0073666,           0.0073666
                 135,            0.073788,            0.021785,           0.0027118,             0.51731,             0.35294,             0.36637,             0.11278,            0.082503,            0.018946,            0.001675,           0.0073468,           0.0073468,           0.0073468
                 136,            0.069156,             0.02776,           0.0030954,             0.51731,             0.35294,             0.36637,             0.11278,            0.082503,            0.018946,            0.001675,            0.007327,            0.007327,            0.007327
                 137,            0.071412,            0.020095,            0.002672,             0.51731,             0.35294,             0.36637,             0.11278,            0.082503,            0.018946,            0.001675,           0.0073072,           0.0073072,           0.0073072
                 138,            0.077557,            0.024026,           0.0030504,             0.51731,             0.35294,             0.36637,             0.11278,            0.082503,            0.018946,            0.001675,           0.0072874,           0.0072874,           0.0072874
                 139,            0.070288,            0.018393,           0.0025457,             0.36605,             0.41176,             0.35783,             0.11362,             0.07326,            0.019654,            0.001586,           0.0072676,           0.0072676,           0.0072676
                 140,            0.076984,            0.020393,           0.0025211,             0.36605,             0.41176,             0.35783,             0.11362,             0.07326,            0.019654,            0.001586,           0.0072478,           0.0072478,           0.0072478
                 141,            0.082669,            0.029513,           0.0028362,             0.36605,             0.41176,             0.35783,             0.11362,             0.07326,            0.019654,            0.001586,            0.007228,            0.007228,            0.007228
                 142,            0.073295,            0.020647,           0.0029712,             0.36605,             0.41176,             0.35783,             0.11362,             0.07326,            0.019654,            0.001586,           0.0072082,           0.0072082,           0.0072082
                 143,            0.081081,             0.02446,           0.0039018,             0.72965,             0.35294,             0.47641,             0.17428,            0.075052,            0.019912,           0.0015084,           0.0071884,           0.0071884,           0.0071884
                 144,            0.070219,            0.033789,           0.0033725,             0.72965,             0.35294,             0.47641,             0.17428,            0.075052,            0.019912,           0.0015084,           0.0071686,           0.0071686,           0.0071686
                 145,            0.072382,            0.034022,            0.003278,             0.72965,             0.35294,             0.47641,             0.17428,            0.075052,            0.019912,           0.0015084,           0.0071488,           0.0071488,           0.0071488
                 146,            0.071949,            0.022746,           0.0029433,             0.72965,             0.35294,             0.47641,             0.17428,            0.075052,            0.019912,           0.0015084,            0.007129,            0.007129,            0.007129
                 147,            0.070235,            0.023744,           0.0034118,             0.59854,             0.29412,             0.36965,             0.13412,             0.06961,            0.020543,           0.0014781,           0.0071092,           0.0071092,           0.0071092
                 148,            0.067599,            0.026669,           0.0035872,             0.59854,             0.29412,             0.36965,             0.13412,             0.06961,            0.020543,           0.0014781,           0.0070894,           0.0070894,           0.0070894
                 149,            0.078042,            0.025704,           0.0025057,             0.59854,             0.29412,             0.36965,             0.13412,             0.06961,            0.020543,           0.0014781,           0.0070696,           0.0070696,           0.0070696
                 150,            0.071183,            0.023482,           0.0035465,             0.59854,             0.29412,             0.36965,             0.13412,             0.06961,            0.020543,           0.0014781,           0.0070498,           0.0070498,           0.0070498
                 151,            0.069954,            0.019125,           0.0030938,             0.20058,             0.52941,              0.2152,            0.077482,            0.076334,            0.021431,           0.0014302,             0.00703,             0.00703,             0.00703
                 152,            0.070965,            0.021394,             0.00211,             0.20058,             0.52941,              0.2152,            0.077482,            0.076334,            0.021431,           0.0014302,           0.0070102,           0.0070102,           0.0070102
                 153,             0.06691,            0.022715,           0.0023446,             0.20058,             0.52941,              0.2152,            0.077482,            0.076334,            0.021431,           0.0014302,           0.0069904,           0.0069904,           0.0069904
                 154,            0.073801,            0.015306,           0.0021297,             0.20058,             0.52941,              0.2152,            0.077482,            0.076334,            0.021431,           0.0014302,           0.0069706,           0.0069706,           0.0069706
                 155,              0.0674,             0.01515,           0.0020498,              0.3859,             0.47059,             0.45132,             0.16693,            0.071358,            0.021062,           0.0014158,           0.0069508,           0.0069508,           0.0069508
                 156,            0.077704,            0.025301,           0.0034178,              0.3859,             0.47059,             0.45132,             0.16693,            0.071358,            0.021062,           0.0014158,            0.006931,            0.006931,            0.006931
