               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.077581,            0.016319,           0.0036093,             0.27217,               0.125,             0.17789,            0.039238,            0.085933,            0.013023,           0.0026859,            0.031386,           0.0063862,           0.0063862
                  76,            0.076633,            0.019493,            0.004985,             0.27217,               0.125,             0.17789,            0.039238,            0.085933,            0.013023,           0.0026859,            0.030456,           0.0064564,           0.0064564
                  77,            0.080049,            0.018142,           0.0037915,             0.22022,             0.21875,             0.15671,            0.053838,            0.086008,            0.013061,           0.0026666,            0.029526,           0.0065261,           0.0065261
                  78,            0.078821,            0.020523,            0.003812,             0.22022,             0.21875,             0.15671,            0.053838,            0.086008,            0.013061,           0.0026666,            0.028595,           0.0065954,           0.0065954
                  79,            0.088739,            0.011317,           0.0041695,             0.22022,             0.21875,             0.15671,            0.053838,            0.086008,            0.013061,           0.0026666,            0.027664,           0.0066643,           0.0066643
                  80,            0.081883,            0.017147,           0.0032971,               0.284,                0.25,             0.13429,             0.03453,            0.089383,            0.012075,           0.0023418,            0.026733,           0.0067328,           0.0067328
                  81,            0.082714,             0.01604,           0.0029554,               0.284,                0.25,             0.13429,             0.03453,            0.089383,            0.012075,           0.0023418,            0.025801,           0.0068009,           0.0068009
                  82,            0.084844,            0.019917,           0.0041458,               0.284,                0.25,             0.13429,             0.03453,            0.089383,            0.012075,           0.0023418,            0.024869,           0.0068686,           0.0068686
                  83,            0.085011,            0.020947,           0.0031604,             0.17073,             0.28125,            0.099978,            0.024574,            0.084901,            0.012145,           0.0022867,            0.023936,            0.006936,            0.006936
                  84,            0.086543,            0.012857,           0.0027591,             0.17073,             0.28125,            0.099978,            0.024574,            0.084901,            0.012145,           0.0022867,            0.023003,           0.0070029,           0.0070029
                  85,            0.088034,            0.012679,           0.0033718,             0.17073,             0.28125,            0.099978,            0.024574,            0.084901,            0.012145,           0.0022867,            0.022069,           0.0070694,           0.0070694
